SEGMENTID,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
174635,58 AVENUE,61 STREET,GRAND AVENUE,Q,2018-09-17 00:00:00,2018-12-14 23:59:59,DOT IN-HOUSE PAVING
129726,53 PLACE,32 AVENUE,BROADWAY,Q,2018-12-20 00:00:00,2019-01-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
35554,51 AVENUE,21 STREET,23 STREET,Q,2018-04-09 00:00:00,2018-05-31 23:59:59,DOT IN-HOUSE PAVING
129727,53 PLACE,32 AVENUE,BROADWAY,Q,2018-12-20 00:00:00,2019-01-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
172623,38 STREET,43 AVENUE,NYCTA SUBWAY,Q,2018-12-07 00:00:00,2019-01-01 23:58:59,PLACE CRANE OR SHOVEL ON STREET
172622,38 STREET,43 AVENUE,NYCTA SUBWAY,Q,2018-11-21 13:56:34,2018-12-07 23:58:59,PLACE CRANE OR SHOVEL ON STREET
69103,EAST  129 STREET,5 AVENUE,MADISON AVENUE,M,2018-10-30 15:22:16,2018-12-31 23:59:59,DOT IN-HOUSE PAVING
117588,KENMORE ROAD,EAST DRIVE,MARINETTE STREET,Q,2018-10-26 14:49:20,2018-11-29 23:59:59,DOT IN-HOUSE MILLING
109693,ROSSVILLE AVENUE,LOCUST COURT,BARROW PLACE,S,2018-05-03 00:00:00,2018-06-04 23:59:59,DOT IN-HOUSE PAVING
109967,PARSIFAL PLACE,BEND,LOHENGRIN PLACE,X,2018-05-11 07:22:40,2018-08-08 23:59:59,DOT IN-HOUSE PAVING
109655,VETERANS ROAD EAST,CLAY PIT ROAD,SALAMANDER COURT,S,2018-04-24 00:00:00,2018-05-31 23:59:59,DOT IN-HOUSE PAVING
109968,PARSIFAL PLACE,BEND,STADIUM AVENUE,X,2018-05-11 07:22:40,2018-08-08 23:59:59,DOT IN-HOUSE PAVING
109969,STADIUM AVENUE,BEND,LAYTON AVENUE,X,2018-05-11 07:15:34,2018-08-08 23:59:59,DOT IN-HOUSE PAVING
173127,WEST  140 STREET,7 AVENUE,LENOX AVENUE,M,2018-09-24 00:00:00,2018-10-25 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
86594,GLOVER STREET,GLEBE AVENUE,ST RAYMOND AVENUE,X,2018-04-24 06:56:37,2018-07-22 23:59:59,DOT IN-HOUSE PAVING
86595,GLOVER STREET,GLEBE AVENUE,ST RAYMOND AVENUE,X,2018-04-24 06:56:37,2018-07-22 23:59:59,DOT IN-HOUSE PAVING
93613,EAST  177 STREET,DEWEY AVENUE,EAST TREMONT AVENUE,X,2018-03-27 08:01:05,2018-06-24 23:59:59,DOT IN-HOUSE PAVING
69820,WALTON AVENUE,EAST  150 STREET,EAST  151 STREET,X,2018-06-11 00:00:00,2018-06-16 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
