,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
13144,15633,virginia avenue,2018-06-26 12:04:04,2018-09-24 23:58:59,S
13145,15791,virginia avenue,2018-06-26 12:04:03,2018-09-24 23:58:59,S
13146,162571,boerum place,2018-07-09 00:00:00,2018-07-13 23:59:59,B
13147,162572,boerum place,2018-07-09 00:00:00,2018-07-13 23:59:59,B
13148,166370,west 130 street,2018-06-30 00:00:00,2018-07-09 23:58:59,M
13149,166371,west 130 street,2018-06-30 00:00:00,2018-07-09 23:58:59,M
13150,33946,west 40 street,2018-06-11 00:00:00,2018-06-22 23:59:59,M
13151,15633,virginia avenue,2018-07-19 08:17:57,2018-08-31 23:59:59,S
13152,15791,virginia avenue,2018-07-19 08:17:56,2018-08-31 23:59:59,S
13153,31946,bedford street,2018-03-28 08:25:42,2018-06-03 23:58:59,M
13154,31948,bedford street,2018-03-28 08:25:44,2018-06-03 23:58:59,M
13155,31952,bedford street,2018-03-28 08:25:42,2018-06-03 23:58:59,M
13156,31959,charles street,2018-03-27 14:15:29,2018-06-03 23:58:59,M
13157,31964,grove street,2018-03-28 08:25:45,2018-06-03 23:58:59,M
13158,31969,charles street,2018-03-28 08:25:57,2018-06-03 23:58:59,M
13159,33795,west 26 street,2018-05-21 00:00:00,2018-06-01 23:59:59,M
13160,164344,suffolk street,2018-10-28 00:00:00,2018-11-27 23:58:59,M
13161,20953,50 street,2018-08-27 00:00:00,2018-09-28 23:58:59,B
13162,29551,pacific street,2018-09-07 15:14:48,2018-11-04 23:58:59,B
13163,20268,64 street,2018-09-24 00:00:00,2018-09-28 23:59:59,B
13164,30286,st james place,2018-06-20 00:00:00,2018-06-25 23:59:59,B
13165,30467,st james place,2018-06-20 00:00:00,2018-06-25 23:59:59,B
13166,20279,17 avenue,2018-09-26 00:00:00,2018-09-28 23:59:59,B
13167,23158,exchange place,2018-09-22 00:00:00,2018-09-23 23:58:59,M
